molecule_chembl_id,target_chembl_id,pchembl_value,canonical_smiles,protein
CHEMBL224979,CHEMBL2095188,5.52,CCOC(=O)CN1C(=O)C=CC1=O,COX1
CHEMBL225037,CHEMBL2095188,5.3,CN1C(=O)C=CC1=O,COX1
CHEMBL225440,CHEMBL2095188,4.19,COc1ccc(CN2C(=O)CSC2=S)cc1,COX1
CHEMBL225554,CHEMBL2095188,4.46,O=C1CSC(=S)N1CCc1ccccc1,COX1
CHEMBL2262593,CHEMBL2095188,5.0,COc1ccc(C2OC(=O)C(O)=C2I)cc1OC,COX1
CHEMBL2297170,CHEMBL2095188,6.0,C[n+]1c2ccccc2[n+]2[nH]c3ccccc3n12,COX1
CHEMBL2297171,CHEMBL2095188,6.0,O=C(N=c1[nH]c2ccccc2[nH]1)NC[C@H]1CCC[C@@H](CNC(=O)N=c2[nH]c3ccccc3[nH]2)C1,COX1
CHEMBL23840,CHEMBL2095188,5.22,Cn1sc(=O)n(-c2ccccc2Br)c1=O,COX1
CHEMBL2386744,CHEMBL2095188,6.8,COC(=N)c1nc2ccc3ncnc(Nc4ccc(Br)cc4F)c3c2s1,COX1
CHEMBL2386753,CHEMBL2095188,6.18,COC(=N)c1nc2ccc3ncnc(Nc4ccc5c(c4)OCO5)c3c2s1,COX1
CHEMBL2386761,CHEMBL2095188,6.7,COC(=N)c1nc2ccc3ncnc(Nc4ccc(OC)cc4)c3c2s1,COX1
CHEMBL2397838,CHEMBL2095188,6.7,Cl.O=c1[nH]nc2c(NCCCc3ccnc(Cl)c3)cc(Cl)cn12,COX1
CHEMBL2397839,CHEMBL2095188,6.6,Cl.Nc1cc(CCCNc2cc(Cl)cn3c(=O)[nH]nc23)ccn1,COX1
CHEMBL2397840,CHEMBL2095188,6.72,COc1cccc(CCCNc2cc(Cl)cn3c(=O)[nH]nc23)c1,COX1
CHEMBL2397841,CHEMBL2095188,6.61,Cl.O=c1[nH]nc2c(NCCCc3cccc(OCCN4CCOCC4)c3)cc(Cl)cn12,COX1
CHEMBL2397845,CHEMBL2095188,4.89,COc1ccc(OCCNc2cccn3c(=O)[nH]nc23)cc1,COX1
CHEMBL2397846,CHEMBL2095188,5.15,COc1ccc(OCCNc2cc(C)cn3c(=O)[nH]nc23)cc1,COX1
CHEMBL2397847,CHEMBL2095188,5.92,Cc1cc(NCCCc2ccccn2)c2n[nH]c(=O)n2c1.Cl,COX1
CHEMBL2397848,CHEMBL2095188,4.3,Cc1cc(N(C)CCCc2ccccn2)c2n[nH]c(=O)n2c1.Cl,COX1
CHEMBL2397849,CHEMBL2095188,6.45,Cc1cc(NCCCc2cccnc2)c2n[nH]c(=O)n2c1.Cl,COX1
CHEMBL2397850,CHEMBL2095188,6.51,Cc1cc(NCCCc2ccc(C)nc2)c2n[nH]c(=O)n2c1.Cl,COX1
CHEMBL2397851,CHEMBL2095188,6.22,Cc1cc(NCCCc2ccncc2)c2n[nH]c(=O)n2c1.Cl,COX1
CHEMBL2397852,CHEMBL2095188,6.11,Cc1cc(NCCCc2ccnc(Cl)c2)c2n[nH]c(=O)n2c1.Cl,COX1
CHEMBL2397853,CHEMBL2095188,6.19,COc1cc(CCCNc2cc(C)cn3c(=O)[nH]nc23)ccn1.Cl,COX1
CHEMBL2397854,CHEMBL2095188,6.0,Cc1cc(NCCCc2ccc(N)cc2)c2n[nH]c(=O)n2c1.Cl,COX1
CHEMBL2397855,CHEMBL2095188,5.87,Cc1cc(NCCCn2ccnc2)c2n[nH]c(=O)n2c1.Cl,COX1
CHEMBL2397857,CHEMBL2095188,6.28,Cl.O=c1[nH]nc2c(NCCCc3cccnc3)cc(Cl)cn12,COX1
CHEMBL2397858,CHEMBL2095188,6.47,Cc1ccc(CCCNc2cc(Cl)cn3c(=O)[nH]nc23)cn1.Cl,COX1
CHEMBL2397859,CHEMBL2095188,6.96,Cl.O=c1[nH]nc2c(NCCCc3ccncc3)cc(Cl)cn12,COX1
CHEMBL2397860,CHEMBL2095188,6.09,Cc1cc(CCCNc2cc(Cl)cn3c(=O)[nH]nc23)ccn1.Cl,COX1
CHEMBL24167,CHEMBL2095188,4.0,Cn1sc(=O)n(C2CCCCC2)c1=O,COX1
CHEMBL24494,CHEMBL2095188,5.4,Cn1sc(=O)n(-c2cccc(Br)c2)c1=O,COX1
CHEMBL24537,CHEMBL2095188,5.4,Cn1sc(=O)n(-c2ccc(Cl)cc2)c1=O,COX1
CHEMBL24693,CHEMBL2095188,5.0,CCn1c(=O)sn(C2CCCCC2)c1=O,COX1
CHEMBL24721,CHEMBL2095188,5.96,Cn1sc(=O)n(-c2ccc(Br)cc2)c1=O,COX1
CHEMBL247228,CHEMBL2095188,5.66,Nc1ncnc2occ(-c3ccc(NC(=O)Nc4cc(C(F)(F)F)ccc4F)cc3)c12,COX1
CHEMBL24753,CHEMBL2095188,5.3,Cc1ccc(-n2c(=O)sn(C)c2=O)cc1,COX1
CHEMBL253769,CHEMBL2095188,8.4,CC(=O)O/N=C1C(=C2/C(=O)Nc3cc(Cl)c(Cl)cc32)/Nc2ccccc2/1,COX1
CHEMBL253770,CHEMBL2095188,7.8,O=C1Nc2ccc(Br)cc2/C1=C1/Nc2ccccc2/C1=N\O,COX1
CHEMBL25820,CHEMBL2095188,5.4,Cn1sc(=O)n(-c2ccc(F)cc2)c1=O,COX1
CHEMBL25829,CHEMBL2095188,4.6,CCn1sc(=O)n(CC)c1=O,COX1
CHEMBL258482,CHEMBL2095188,6.92,N#Cc1cc(I)c2[nH]c3c(c2c1)CC(=O)Nc1cccnc1-3,COX1
CHEMBL258700,CHEMBL2095188,6.1,COc1ccc2[nH]c3c(c2c1)CC(=O)Nc1cccnc1-3,COX1
CHEMBL258805,CHEMBL2095188,6.46,COc1ccc2c(c1)/C(=C/c1cnc[nH]1)C(=O)N2,COX1
CHEMBL259638,CHEMBL2095188,8.1,N#Cc1ccc2[nH]c3c(c2c1)CC(=O)Nc1cccnc1-3,COX1
CHEMBL259697,CHEMBL2095188,6.39,O=C1Cc2c(n3c4c(cccc24)CC3)-c2ncccc2N1,COX1
CHEMBL259850,CHEMBL2095188,6.98,COc1ccc(CNC(=O)Nc2ncc([N+](=O)[O-])s2)cc1,COX1
CHEMBL260045,CHEMBL2095188,7.75,O=C1Cc2c([nH]c3ccc(Cl)cc23)-c2cnccc2N1,COX1
CHEMBL260119,CHEMBL2095188,7.89,O=C1Cc2c([nH]c3ccc(C(F)(F)F)cc23)-c2cnccc2N1,COX1
CHEMBL260135,CHEMBL2095188,6.6,Nc1n[nH]c2nnc(-c3ccccc3)c(-c3ccccc3)c12,COX1
